year,ageing_65_plus,gov_health_exp_pct_gdp,gov_health_exp_pct_gdp_observed,gov_health_exp_pct_gdp_imputed
1990,5.34515741412924,0.0258806588563516,,True
1991,5.45270392331688,0.0258806588563516,,True
1992,5.57661794733089,0.0258806588563516,,True
1993,5.72652985467844,0.13751275878681213,,True
1994,5.88533298268521,0.24914485871724423,,True
1995,6.05307366965255,0.36077695864767634,,True
1996,6.22504804870163,0.47240905857810844,,True
1997,6.4010690329891,0.5840411585085405,,True
1998,6.60294649523664,0.6956732584389727,,True
1999,6.8145142714138,0.8073053583694332,,True
2000,7.01747574076251,0.97868848,0.97868848,False
2001,7.21351682273765,0.96197265,0.96197265,False
2002,7.40162875834336,1.09706461,1.09706461,False
2003,7.57962663220469,1.23556411,1.23556411,False
2004,7.73725110121901,1.27916729,1.27916729,False
2005,7.88962840533466,1.34709895,1.34709895,False
2006,8.05386346846253,1.36572993,1.36572993,False
2007,8.21258625792709,1.41172099,1.41172099,False
2008,8.35535290441098,1.70800281,1.70800281,False
2009,8.49817888668038,2.1124301,2.1124301,False
2010,8.66147143784386,2.15837073,2.15837073,False
2011,8.85916872860311,2.29242587,2.29242587,False
2012,9.08920186808881,2.50277305,2.50277305,False
2013,9.3562686156071,2.64646387,2.64646387,False
2014,9.6661987378912,2.74482822,2.74482822,False
2015,10.053420914992,2.92099118,2.92099118,False
2016,10.4907994645602,2.83731437,2.83731437,False
2017,10.9809606634325,2.81638408,2.81638408,False
2018,11.5162092042497,2.85993624,2.85993624,False
2019,12.0613659717192,2.94739079,2.94739079,False
2020,12.6452376078587,3.01223373,3.01223373,False
2021,13.2057410345267,2.8417747,2.8417747,False
2022,13.781930345649,3.39281297,3.39281297,False
2023,14.3160774690688,3.39381886,3.39381886,False
