year,gdp_per_capita,ageing_65_plus,gov_health_exp_pct_gdp
1990,318.50335359039,5.34515741412924,
1991,334.130288119078,5.45270392331688,
1992,367.822651903542,5.57661794733089,
1993,378.939353053314,5.72652985467844,
1994,475.677874448369,5.88533298268521,
1995,612.680277898627,6.05307366965255,
1996,713.337387811657,6.22504804870163,
1997,786.743548510999,6.4010690329891,
1998,835.095348597432,6.60294649523664,
1999,881.146614068925,6.8145142714138,
2000,969.199513696287,7.01747574076251,0.97868848
2001,1065.40597574519,7.21351682273765,0.96197265
2002,1163.55957673426,7.40162875834336,1.09706461
2003,1306.97245408557,7.57962663220469,1.23556411
2004,1530.92726215723,7.73725110121901,1.27916729
2005,1777.64496828464,7.88962840533466,1.34709895
2006,2129.25696999613,8.05386346846253,1.36572993
2007,2734.72709877693,8.21258625792709,1.41172099
2008,3523.44302065213,8.35535290441098,1.70800281
2009,3898.24459158811,8.49817888668038,2.1124301
2010,4629.24551710077,8.66147143784386,2.15837073
2011,5703.76027973346,8.85916872860311,2.29242587
2012,6405.0574241349,9.08920186808881,2.50277305
2013,7147.03518622344,9.3562686156071,2.64646387
2014,7781.06597484974,9.6661987378912,2.74482822
2015,8175.33285077393,10.053420914992,2.92099118
2016,8254.86859320357,10.4907994645602,2.83731437
2017,8979.67652709856,10.9809606634325,2.81638408
2018,10085.6638148819,11.5162092042497,2.85993624
2019,10342.9009524335,12.0613659717192,2.94739079
2020,10627.4637989619,12.6452376078587,3.01223373
2021,12887.4357242941,13.2057410345267,2.8417747
2022,12970.6056414327,13.781930345649,3.39281297
2023,12951.1782397043,14.3160774690688,3.39381886
2024,13303.1481543868,14.665268836569,
2025,,,
2026,,,
