year,ozone
1990,46.72655929
1991,46.53077736
1992,47.22651894
1993,47.41106915
1994,48.23936753
1995,48.58457504
1996,49.09866196
1997,50.05004611
1998,49.77316262
1999,50.8085835
2000,50.23356433
2001,50.55365822
2002,50.48001096
2003,51.51077796
2004,53.06225032
2005,53.61220337
2006,56.00917059
2007,56.86307009
2008,58.30341055
2009,56.45398266
2010,55.71923087
2011,53.80503626
2012,51.50270089
2013,49.48866891
2014,48.64973066
2015,49.88906612
2016,52.24545127
2017,53.57135369
2018,49.43532388
2019,48.92596747
2020,48.42831278
