year,pm25
1990,43.0610514
1991,42.84368403
1992,43.06801464
1993,43.29234525
1994,43.51667586
1995,42.8576105
1996,43.96533708
1997,44.18966769
1998,44.4139983
1999,44.63832891
2000,45.3043575
2001,45.69874986
2002,46.12890831
2003,45.739747
2004,45.2550278
2005,46.13285605
2006,49.9470246
2007,51.67347278
2008,51.08823847
2009,49.94222052
2010,48.95040086
2011,52.72722981
2012,48.65782076
2013,51.74978095
2014,52.50965721
2015,49.47322164
2016,45.28060859
2017,43.09110188
2018,38.5057527
2019,37.20244673
2020,33.69070478
2021,31.91852272
2022,31.89577498
2023,31.99157537
