year,trend,crd_daly_rate,pm25_lag0,pm25_lag1,pm25_lag2,ozone_lag0,ozone_lag1,ozone_lag2,household_pm_lag0,household_pm_lag1,household_pm_lag2,ageing_65_plus,gov_health_exp_pct_gdp,gov_health_exp_pct_gdp_observed,gov_health_exp_pct_gdp_imputed
1990,1,2212.4564575836566,43.0610514,,,46.72655929,,,282.87988435,,,5.34515741412924,0.0258806588563516,,True
1991,2,2194.224712651303,42.84368403,43.0610514,,46.53077736,46.72655929,,278.8669491,282.87988435,,5.45270392331688,0.0258806588563516,,True
1992,3,2176.759277705021,43.06801464,42.84368403,43.0610514,47.22651894,46.53077736,46.72655929,273.9922967,278.8669491,282.87988435,5.57661794733089,0.0258806588563516,,True
1993,4,2158.897741202029,43.29234525,43.06801464,42.84368403,47.41106915,47.22651894,46.53077736,268.05864295,273.9922967,278.8669491,5.72652985467844,0.13751275878681213,,True
1994,5,2137.860682259029,43.51667586,43.29234525,43.06801464,48.23936753,47.41106915,47.22651894,261.13534,268.05864295,273.9922967,5.88533298268521,0.24914485871724423,,True
1995,6,2117.8216601914687,42.8576105,43.51667586,43.29234525,48.58457504,48.23936753,47.41106915,253.24506005,261.13534,268.05864295,6.05307366965255,0.36077695864767634,,True
1996,7,2098.603700038781,43.96533708,42.8576105,43.51667586,49.09866196,48.58457504,48.23936753,244.85884645,253.24506005,261.13534,6.22504804870163,0.47240905857810844,,True
1997,8,2082.053780952703,44.18966769,43.96533708,42.8576105,50.05004611,49.09866196,48.58457504,236.56198505,244.85884645,253.24506005,6.4010690329891,0.5840411585085405,,True
1998,9,2079.662461871595,44.4139983,44.18966769,43.96533708,49.77316262,50.05004611,49.09866196,228.99638255000002,236.56198505,244.85884645,6.60294649523664,0.6956732584389727,,True
1999,10,2087.1313120098,44.63832891,44.4139983,44.18966769,50.8085835,49.77316262,50.05004611,221.4372464,228.99638255000002,236.56198505,6.8145142714138,0.8073053583694332,,True
2000,11,2119.9456393573573,45.3043575,44.63832891,44.4139983,50.23356433,50.8085835,49.77316262,213.50761195,221.4372464,228.99638255000002,7.01747574076251,0.97868848,0.97868848,False
2001,12,2135.6642209680545,45.69874986,45.3043575,44.63832891,50.55365822,50.23356433,50.8085835,205.2618509,213.50761195,221.4372464,7.21351682273765,0.96197265,0.96197265,False
2002,13,2135.250642929396,46.12890831,45.69874986,45.3043575,50.48001096,50.55365822,50.23356433,196.44942709999998,205.2618509,213.50761195,7.40162875834336,1.09706461,1.09706461,False
2003,14,2132.8805394052715,45.739747,46.12890831,45.69874986,51.51077796,50.48001096,50.55365822,187.15079020000002,196.44942709999998,205.2618509,7.57962663220469,1.23556411,1.23556411,False
2004,15,2115.772618734161,45.2550278,45.739747,46.12890831,53.06225032,51.51077796,50.48001096,176.98713455,187.15079020000002,196.44942709999998,7.73725110121901,1.27916729,1.27916729,False
2005,16,2026.03954563484,46.13285605,45.2550278,45.739747,53.61220337,53.06225032,51.51077796,165.76795744999998,176.98713455,187.15079020000002,7.88962840533466,1.34709895,1.34709895,False
2006,17,1875.333375603967,49.9470246,46.13285605,45.2550278,56.00917059,53.61220337,53.06225032,153.5537215,165.76795744999998,176.98713455,8.05386346846253,1.36572993,1.36572993,False
2007,18,1766.3755364110648,51.67347278,49.9470246,46.13285605,56.86307009,56.00917059,53.61220337,140.56487875,153.5537215,165.76795744999998,8.21258625792709,1.41172099,1.41172099,False
2008,19,1677.837574316329,51.08823847,51.67347278,49.9470246,58.30341055,56.86307009,56.00917059,128.55802169999998,140.56487875,153.5537215,8.35535290441098,1.70800281,1.70800281,False
2009,20,1591.0456656980512,49.94222052,51.08823847,51.67347278,56.45398266,58.30341055,56.86307009,117.06799634000001,128.55802169999998,140.56487875,8.49817888668038,2.1124301,2.1124301,False
2010,21,1499.4010351658596,48.95040086,49.94222052,51.08823847,55.71923087,56.45398266,58.30341055,105.40485154000001,117.06799634000001,128.55802169999998,8.66147143784386,2.15837073,2.15837073,False
2011,22,1405.8903494082294,52.72722981,48.95040086,49.94222052,53.80503626,55.71923087,56.45398266,94.67007748500001,105.40485154000001,117.06799634000001,8.85916872860311,2.29242587,2.29242587,False
2012,23,1314.9502658511533,48.65782076,52.72722981,48.95040086,51.50270089,53.80503626,55.71923087,85.010182265,94.67007748500001,105.40485154000001,9.08920186808881,2.50277305,2.50277305,False
2013,24,1239.510106267608,51.74978095,48.65782076,52.72722981,49.48866891,51.50270089,53.80503626,76.38434694,85.010182265,94.67007748500001,9.3562686156071,2.64646387,2.64646387,False
2014,25,1175.2318653161792,52.50965721,51.74978095,48.65782076,48.64973066,49.48866891,51.50270089,68.753777165,76.38434694,85.010182265,9.6661987378912,2.74482822,2.74482822,False
2015,26,1122.0450932129506,49.47322164,52.50965721,51.74978095,49.88906612,48.64973066,49.48866891,61.97873771,68.753777165,76.38434694,10.053420914992,2.92099118,2.92099118,False
2016,27,1088.2587371851885,45.28060859,49.47322164,52.50965721,52.24545127,49.88906612,48.64973066,55.96745789,61.97873771,68.753777165,10.4907994645602,2.83731437,2.83731437,False
2017,28,1053.947622251615,43.09110188,45.28060859,49.47322164,53.57135369,52.24545127,49.88906612,50.536051895,55.96745789,61.97873771,10.9809606634325,2.81638408,2.81638408,False
2018,29,1014.4746250446282,38.5057527,43.09110188,45.28060859,49.43532388,53.57135369,52.24545127,45.774562149999994,50.536051895,55.96745789,11.5162092042497,2.85993624,2.85993624,False
2019,30,976.469126253072,37.20244673,38.5057527,43.09110188,48.92596747,49.43532388,53.57135369,41.553789025,45.774562149999994,50.536051895,12.0613659717192,2.94739079,2.94739079,False
2020,31,904.198108756008,33.69070478,37.20244673,38.5057527,48.42831278,48.92596747,49.43532388,38.174159089999996,41.553789025,45.774562149999994,12.6452376078587,3.01223373,3.01223373,False
2021,32,917.4816300091828,31.91852272,33.69070478,37.20244673,,48.42831278,48.92596747,34.60912595,38.174159089999996,41.553789025,13.2057410345267,2.8417747,2.8417747,False
2022,33,964.3075429266428,31.89577498,31.91852272,33.69070478,,,48.42831278,31.614996625000003,34.60912595,38.174159089999996,13.781930345649,3.39281297,3.39281297,False
2023,34,954.4716919506856,31.99157537,31.89577498,31.91852272,,,,28.83763819,31.614996625000003,34.60912595,14.3160774690688,3.39381886,3.39381886,False
