year,crd_daly_rate,pm25,ozone,household_pm,ageing_65_plus,gov_health_exp_pct_gdp,gov_health_exp_pct_gdp_observed,gov_health_exp_pct_gdp_imputed,trend
1990,2212.4564575836566,43.0610514,46.72655929,282.87988435,5.34515741412924,0.0258806588563516,,True,1
1991,2194.224712651303,42.84368403,46.53077736,278.8669491,5.45270392331688,0.0258806588563516,,True,2
1992,2176.759277705021,43.06801464,47.22651894,273.9922967,5.57661794733089,0.0258806588563516,,True,3
1993,2158.897741202029,43.29234525,47.41106915,268.05864295,5.72652985467844,0.13751275878681213,,True,4
1994,2137.860682259029,43.51667586,48.23936753,261.13534,5.88533298268521,0.24914485871724423,,True,5
1995,2117.8216601914687,42.8576105,48.58457504,253.24506005,6.05307366965255,0.36077695864767634,,True,6
1996,2098.603700038781,43.96533708,49.09866196,244.85884645,6.22504804870163,0.47240905857810844,,True,7
1997,2082.053780952703,44.18966769,50.05004611,236.56198505,6.4010690329891,0.5840411585085405,,True,8
1998,2079.662461871595,44.4139983,49.77316262,228.99638255000002,6.60294649523664,0.6956732584389727,,True,9
1999,2087.1313120098,44.63832891,50.8085835,221.4372464,6.8145142714138,0.8073053583694332,,True,10
2000,2119.9456393573573,45.3043575,50.23356433,213.50761195,7.01747574076251,0.97868848,0.97868848,False,11
2001,2135.6642209680545,45.69874986,50.55365822,205.2618509,7.21351682273765,0.96197265,0.96197265,False,12
2002,2135.250642929396,46.12890831,50.48001096,196.44942709999998,7.40162875834336,1.09706461,1.09706461,False,13
2003,2132.8805394052715,45.739747,51.51077796,187.15079020000002,7.57962663220469,1.23556411,1.23556411,False,14
2004,2115.772618734161,45.2550278,53.06225032,176.98713455,7.73725110121901,1.27916729,1.27916729,False,15
2005,2026.03954563484,46.13285605,53.61220337,165.76795744999998,7.88962840533466,1.34709895,1.34709895,False,16
2006,1875.333375603967,49.9470246,56.00917059,153.5537215,8.05386346846253,1.36572993,1.36572993,False,17
2007,1766.3755364110648,51.67347278,56.86307009,140.56487875,8.21258625792709,1.41172099,1.41172099,False,18
2008,1677.837574316329,51.08823847,58.30341055,128.55802169999998,8.35535290441098,1.70800281,1.70800281,False,19
2009,1591.0456656980512,49.94222052,56.45398266,117.06799634000001,8.49817888668038,2.1124301,2.1124301,False,20
2010,1499.4010351658596,48.95040086,55.71923087,105.40485154000001,8.66147143784386,2.15837073,2.15837073,False,21
2011,1405.8903494082294,52.72722981,53.80503626,94.67007748500001,8.85916872860311,2.29242587,2.29242587,False,22
2012,1314.9502658511533,48.65782076,51.50270089,85.010182265,9.08920186808881,2.50277305,2.50277305,False,23
2013,1239.510106267608,51.74978095,49.48866891,76.38434694,9.3562686156071,2.64646387,2.64646387,False,24
2014,1175.2318653161792,52.50965721,48.64973066,68.753777165,9.6661987378912,2.74482822,2.74482822,False,25
2015,1122.0450932129506,49.47322164,49.88906612,61.97873771,10.053420914992,2.92099118,2.92099118,False,26
2016,1088.2587371851885,45.28060859,52.24545127,55.96745789,10.4907994645602,2.83731437,2.83731437,False,27
2017,1053.947622251615,43.09110188,53.57135369,50.536051895,10.9809606634325,2.81638408,2.81638408,False,28
2018,1014.4746250446282,38.5057527,49.43532388,45.774562149999994,11.5162092042497,2.85993624,2.85993624,False,29
2019,976.469126253072,37.20244673,48.92596747,41.553789025,12.0613659717192,2.94739079,2.94739079,False,30
2020,904.198108756008,33.69070478,48.42831278,38.174159089999996,12.6452376078587,3.01223373,3.01223373,False,31
2021,917.4816300091828,31.91852272,,34.60912595,13.2057410345267,2.8417747,2.8417747,False,32
2022,964.3075429266428,31.89577498,,31.614996625000003,13.781930345649,3.39281297,3.39281297,False,33
2023,954.4716919506856,31.99157537,,28.83763819,14.3160774690688,3.39381886,3.39381886,False,34
