year,d_crd_daly_rate,fitted,residual
1992,-17.46543494628213,-31.93371190052835,14.468276954246221
1993,-17.86153650299184,-20.162369199608406,2.300832696616567
1994,-21.03705894299992,-12.6576922696961,-8.37936667330382
1995,-20.03902206756038,-13.560380731547184,-6.478641336013197
1996,-19.217960152687738,-16.586826392343596,-2.6311337603441416
1997,-16.549919086077807,-4.933804932736393,-11.616114153341414
1998,-2.391319081108122,11.176742899723763,-13.568061980831885
1999,7.468850138204743,16.88012476605968,-9.411274627854937
2000,32.81432734755754,16.199917823128885,16.614409524428652
2001,15.718581610697129,8.574117438950907,7.144464171746222
2002,-0.41357803865867027,-6.831235056915261,6.417657018256591
2003,-2.3701035241242607,-16.769498575132275,14.399395051008014
2004,-17.107920671110605,-34.46233585192556,17.354415180814954
2005,-89.73307309932102,-72.15885823213546,-17.57421486718556
2006,-150.70617003087295,-117.18573860612821,-33.52043142474474
2007,-108.95783919290216,-130.8611923895313,21.903353196629155
2008,-88.5379620947358,-98.77679513384692,10.238833039111114
2009,-86.79190861827783,-84.64688970052907,-2.1450189177487573
2010,-91.64463053219151,-98.04371909751251,6.399088565320994
2011,-93.5106857576302,-104.9365453969258,11.425859639295595
2012,-90.94008355707615,-73.90460929256074,-17.035474264515415
2013,-75.44015958354521,-69.75624887479398,-5.6839107087512275
2014,-64.27824095142887,-51.49168195631637,-12.7865589951125
2015,-53.18677210322858,-48.12404009146621,-5.062732011762364
2016,-33.78635602776217,-40.70800943258223,6.921653404820063
2017,-34.311114933573435,-50.82493420636524,16.513819272791807
2018,-39.47299720698686,-48.50038854066747,9.027391333680612
2019,-38.00549879155619,-41.246121557937386,3.2406227663811933
2020,-72.27101749706401,-26.26711192440507,-46.00390557265894
2021,13.283521253174854,-3.613571225152782,16.897092478327636
2022,46.82591291745996,3.3617275148540102,43.46418540260595
2023,-9.835850975957214,22.998659426332097,-32.83451040228931
