step,cusum,lower_5pct,upper_5pct
0,-0.09010247248711752,-4.344281758818136,4.344281758818136
1,-0.7761054069844896,-4.758022878705577,4.758022878705577
2,-1.3612243676359377,-5.171763998593019,5.171763998593019
3,-1.2437788568589332,-5.5855051184804605,5.5855051184804605
4,-1.3775812325180585,-5.999246238367903,5.999246238367903
5,-2.67565414433147,-6.412987358255344,6.412987358255344
6,-3.1612787780932026,-6.826728478142785,6.826728478142785
7,-2.9313051606888587,-7.240469598030227,7.240469598030227
8,-2.7255532828232094,-7.654210717917668,7.654210717917668
9,-2.624606282665751,-8.06795183780511,8.06795183780511
10,-2.764255763495891,-8.481692957692552,8.481692957692552
11,-1.1280938374762584,-8.895434077579992,8.895434077579992
12,-4.37814555964489,-9.309175197467434,9.309175197467434
13,-5.764848731706119,-9.722916317354876,9.722916317354876
14,-7.2935130375748045,-10.136657437242317,10.136657437242317
15,-8.840920024539727,-10.550398557129759,10.550398557129759
16,-10.095655298847705,-10.9641396770172,10.9641396770172
17,-11.103106318214014,-11.377880796904643,11.377880796904643
18,-12.304142795634645,-11.791621916792085,11.791621916792085
19,-13.223871034175136,-12.205363036679525,12.205363036679525
20,-14.941972243500905,-12.619104156566967,12.619104156566967
