,d_crd_daly_rate,d_pm25_lag0,d_pm25_lag1,d_pm25_lag2,d_ozone_lag0,d_ozone_lag1,d_ozone_lag2,d_household_pm_lag0,d_household_pm_lag1,d_household_pm_lag2,d_ageing_65_plus_lag0,d_ageing_65_plus_lag1,d_ageing_65_plus_lag2,d_gov_health_exp_pct_gdp_lag0,d_gov_health_exp_pct_gdp_lag1,d_gov_health_exp_pct_gdp_lag2,trend
d_crd_daly_rate,1.0,-0.1584336172230518,-0.13428396273663043,0.017051268562839776,0.1047129142619876,0.0896640531999972,0.043256870728979824,0.5072096552659273,0.5898778274024312,0.6023809938018523,0.011397462448976665,0.05025838395419807,0.04578364756144765,-0.12322255188534319,-0.10135010553171116,-0.12514555973203573,-0.4743394010424455
d_pm25_lag0,-0.1584336172230518,1.0,0.1577131588184916,0.2865889462821822,0.149456480624312,-0.020814168819530264,0.03785913793471729,-0.5311869736517423,-0.4301509097682214,-0.2718795023192107,-0.6138669734536257,-0.6050157433378179,-0.5786907914915286,0.050721225715324926,-0.005040151483699099,0.3774876893333575,-0.44516615355126915
d_pm25_lag1,-0.13428396273663043,0.1577131588184916,1.0,0.13423021980653485,0.1175994509955115,0.13777763087997133,-0.04659380996299778,-0.4894505624788996,-0.4430492840173002,-0.32993868323835374,-0.5569138327065114,-0.56474844231774,-0.5530449562041561,0.2904840465631968,0.018230327016207075,-0.023149297623311405,-0.3812408741576962
d_pm25_lag2,0.017051268562839776,0.2865889462821822,0.13423021980653485,1.0,0.30465678897242937,0.11036693763222222,0.13090854150393672,-0.48197602355396807,-0.4709211905340145,-0.4092815664689718,-0.5589894023976856,-0.5688642519805432,-0.5794542811843986,0.42572743252676026,0.2788028070470028,0.015519370936799464,-0.3482560740128187
d_ozone_lag0,0.1047129142619876,0.149456480624312,0.1175994509955115,0.30465678897242937,1.0,0.3241431645671892,0.13735216286783972,-0.13631719470163675,-0.00332682516441422,0.13718537215790855,-0.21539435038882965,-0.19420145902730163,-0.18660620679569156,-0.3251829550817126,-0.12076720213335077,-0.017284902491871333,-0.31088373724666546
d_ozone_lag1,0.0896640531999972,-0.020814168819530264,0.13777763087997133,0.11036693763222222,0.3241431645671892,1.0,0.31602165049992903,-0.2037246250237435,-0.089400693012714,0.049661195329342135,-0.23387141658893043,-0.21694538915317704,-0.1949685264905785,-0.0837175657441318,-0.34176933685811156,-0.1367872295185591,-0.31361042757570945
d_ozone_lag2,0.043256870728979824,0.03785913793471729,-0.04659380996299778,0.13090854150393672,0.13735216286783972,0.31602165049992903,1.0,-0.29192946293564803,-0.19163332865403304,-0.0761124365076972,-0.27156069849872605,-0.21348696761243172,-0.1934839492952758,-0.009824173535951967,-0.08081507587302851,-0.3306474792547452,-0.27675702970418564
d_household_pm_lag0,0.5072096552659273,-0.5311869736517423,-0.4894505624788996,-0.48197602355396807,-0.13631719470163675,-0.2037246250237435,-0.29192946293564803,1.0,0.9510283984929844,0.8233708688079656,0.7704540229020286,0.7574754860545394,0.7168211258145193,-0.31249184707471966,-0.3034154902855958,-0.29792959546305897,0.23036788023179192
d_household_pm_lag1,0.5898778274024312,-0.4301509097682214,-0.4430492840173002,-0.4709211905340145,-0.00332682516441422,-0.089400693012714,-0.19163332865403304,0.9510283984929844,1.0,0.9482338270051153,0.6240905444739451,0.6283940252419288,0.6028716003035137,-0.40058842477435763,-0.3457954604988098,-0.354085850812176,0.014933340189151026
d_household_pm_lag2,0.6023809938018523,-0.2718795023192107,-0.32993868323835374,-0.4092815664689718,0.13718537215790855,0.049661195329342135,-0.0761124365076972,0.8233708688079656,0.9482338270051153,1.0,0.4271618759355006,0.4495409277461438,0.4426181515169241,-0.42914659347081313,-0.4375015171773424,-0.39751971248754575,-0.21022305810813602
d_ageing_65_plus_lag0,0.011397462448976665,-0.6138669734536257,-0.5569138327065114,-0.5589894023976856,-0.21539435038882965,-0.23387141658893043,-0.27156069849872605,0.7704540229020286,0.6240905444739451,0.4271618759355006,1.0,0.9886571120381908,0.9581275073829317,-0.35269610696257514,-0.2851779852591634,-0.2012968646340008,0.7674390781504249
d_ageing_65_plus_lag1,0.05025838395419807,-0.6050157433378179,-0.56474844231774,-0.5688642519805432,-0.19420145902730163,-0.21694538915317704,-0.21348696761243172,0.7574754860545394,0.6283940252419288,0.4495409277461438,0.9886571120381908,1.0,0.9858162754495211,-0.35054446815231977,-0.3039197174830388,-0.2584250287183864,0.7440423732472853
d_ageing_65_plus_lag2,0.04578364756144765,-0.5786907914915286,-0.5530449562041561,-0.5794542811843986,-0.18660620679569156,-0.1949685264905785,-0.1934839492952758,0.7168211258145193,0.6028716003035137,0.4426181515169241,0.9581275073829317,0.9858162754495211,1.0,-0.32062031426942655,-0.2973397517292608,-0.2758058232785301,0.7233213801369596
d_gov_health_exp_pct_gdp_lag0,-0.12322255188534319,0.050721225715324926,0.2904840465631968,0.42572743252676026,-0.3251829550817126,-0.0837175657441318,-0.009824173535951967,-0.31249184707471966,-0.40058842477435763,-0.42914659347081313,-0.35269610696257514,-0.35054446815231977,-0.32062031426942655,1.0,0.20457115704215115,-0.11994900151303943,-0.11943953693004257
d_gov_health_exp_pct_gdp_lag1,-0.10135010553171116,-0.005040151483699099,0.018230327016207075,0.2788028070470028,-0.12076720213335077,-0.34176933685811156,-0.08081507587302851,-0.3034154902855958,-0.3457954604988098,-0.4375015171773424,-0.2851779852591634,-0.3039197174830388,-0.2973397517292608,0.20457115704215115,1.0,0.23638674271879057,-0.021907148991929158
d_gov_health_exp_pct_gdp_lag2,-0.12514555973203573,0.3774876893333575,-0.023149297623311405,0.015519370936799464,-0.017284902491871333,-0.1367872295185591,-0.3306474792547452,-0.29792959546305897,-0.354085850812176,-0.39751971248754575,-0.2012968646340008,-0.2584250287183864,-0.2758058232785301,-0.11994900151303943,0.23638674271879057,1.0,0.053984104798390525
trend,-0.4743394010424455,-0.44516615355126915,-0.3812408741576962,-0.3482560740128187,-0.31088373724666546,-0.31361042757570945,-0.27675702970418564,0.23036788023179192,0.014933340189151026,-0.21022305810813602,0.7674390781504249,0.7440423732472853,0.7233213801369596,-0.11943953693004257,-0.021907148991929158,0.053984104798390525,1.0
