variable,vif
d_ageing_65_plus_lag1,319.37506985789304
d_ageing_65_plus_lag0,205.38063381800643
d_household_pm_lag1,125.02960905996628
d_ageing_65_plus_lag2,89.62372669197148
d_household_pm_lag0,81.09244796246412
d_household_pm_lag2,63.9883829149592
trend,47.490600085509016
d_pm25_lag1,5.351839683040196
d_pm25_lag0,4.3593465163943845
d_ozone_lag2,3.8088612457318107
d_pm25_lag2,3.762142689589575
d_gov_health_exp_pct_gdp_lag1,3.5564419950380874
d_gov_health_exp_pct_gdp_lag2,3.402740823860906
d_gov_health_exp_pct_gdp_lag0,3.3606435468885945
d_ozone_lag1,2.768173264876587
d_ozone_lag0,2.077833281056486
